prov_name,dist_name,prov_id,center_name,center_id,total_votes,m_votes,f_votes,pct_m_votes,pct_f_votes,m_station_type,f_station_type,is_open,m_in_f_station,f_in_m_station
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"dasht bist hazary,abdulrahim shahid high school",101258,3224,2748,476,0.8523573201,0.1476426799,2336,888,1,761,349
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"istiqlal high school,istiqlal high school",101028,2827,2403,424,0.8500176866,0.1499823134,880,1947,1,1650,127
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"prozha 5 khair khana,new school",101242,2791,2378,413,0.852024364,0.147975636,2051,740,1,632,305
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"first raod shahshaheed,teacher bitaab high school",101156,2646,2243,403,0.8476946334,0.1523053666,1947,699,1,593,297
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"haalo khail,haalokhail sacandary school",101313,2626,2230,396,0.8492003046,0.1507996954,1328,1298,1,1100,198
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"qala afshar,ghzi abdullah high school",101134,2614,2214,400,0.8469778118,0.1530221882,1947,667,1,564,297
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,Mesbah  secondary School,101215,2596,2200,396,0.8474576271,0.1525423729,1947,649,1,550,297
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"sapin kalai,sapin kalai high school",101094,2347,1995,352,0.8500213038,0.1499786962,1593,754,1,635,233
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,Institute,101109,2171,1853,318,0.8535237218,0.1464762782,1485,686,1,580,212
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"guzargha, guzargha girls school",101138,2164,1836,328,0.8484288355,0.1515711645,217,1947,1,1650,31
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"charqala,sayed nizam masque",101200,2117,1787,330,0.8441190364,0.1558809636,1385,732,1,614,212
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"salang,jamhooriat high school",101063,2071,1754,317,0.8469338484,0.1530661516,773,1298,1,1100,119
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,Qamar bin Hashim mosque Shahrak herfan,101501,2049,1732,317,0.8452903856,0.1547096144,1947,102,1,82,297
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"lab jar,sad bin waqas masque",101302,2037,1731,306,0.8497790869,0.1502209131,1359,678,1,575,203
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"karti parwan,baba Nanak high school",101057,2023,1718,305,0.8492338112,0.1507661888,725,1298,1,1100,107
Kabul          ,MIRBACHKOT                                        ,1,"meer bachakoot markaz,secondary school, Qalae Khoja",103340,1985,1683,302,0.8478589421,0.1521410579,1336,649,1,550,203
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,Qandahari Ha Masjid,101163,1974,1674,300,0.8480243161,0.1519756839,1325,649,1,550,201
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,Khuaj Sultan Bayazeed Masjid in Khoja Boghra.,101309,1971,1672,299,0.8483003551,0.1516996449,673,1298,1,1100,101
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,haaji satarkhan shahmuhammad khail(prozha)masque,101331,1952,1653,299,0.8468237705,0.1531762295,654,1298,1,1100,101
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"parozha taymani,malaka suraya girls school",101062,1879,1595,284,0.8488557743,0.1511442257,1092,787,1,665,162
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"deh qabal,gulkhana sacandary school",101100,1816,1540,276,0.8480176211,0.1519823789,1590,226,1,186,236
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,No. 19 School of Jamal Mina,101036,1725,1473,252,0.8539130435,0.1460869565,933,792,1,673,133
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"ahmadshah babamina,ibrahim khalilullah hig schol",101250,1707,1456,251,0.8529584066,0.1470415934,992,715,1,606,142
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"gozar gulistan,maaruf high school",101263,1700,1442,258,0.8482352941,0.1517647059,949,751,1,636,143
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"charahi taymani,nasir khisrow sacandry school",101053,1696,1441,255,0.8496462264,0.1503537736,1577,119,1,96,232
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"charahi taymani,tajoor sultana girl high school",101050,1695,1442,253,0.8507374631,0.1492625369,918,777,1,656,132
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"airport road,first blak metrology department",101188,1651,1419,232,0.8594791036,0.1405208964,943,708,1,607,131
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"qala najaara,imam zaman jami masque",101245,1637,1407,230,0.8594990837,0.1405009163,339,1298,1,1100,32
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"part(A)khoshal mina,afshar sacandary school",101086,1633,1385,248,0.8481322719,0.1518677281,1515,118,1,94,224
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,Abdul Rahim Ghaforzi Masjid,101169,1584,1352,232,0.8535353535,0.1464646465,286,1298,1,1100,34
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"pol sokhta,abozar ghafari masque",101114,1549,1319,230,0.8515171078,0.1484828922,828,721,1,610,119
Kabul          ,PROVINCIAL CENTER (KABUL)                         ,1,"qala ahmad khan,qala ahmadkhan sacandry schol",101318,1511,1278,233,0.8457974851,0.1542025149,807,704,1,595,124
