votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,1,ﻪﻧﺍﺩﺭﻣ,ﮏﻣﺭﮔ ﺏﺁ ﻪﻳﺭﻗ,3107125,ﺱﻳﻏﺩﺎﺑ,1
600,2,ﻪﻧﺍﺩﺭﻣ,ﮏﻣﺭﮔ ﺏﺁ ﻪﻳﺭﻗ,3107125,ﺱﻳﻏﺩﺎﺑ,2
600,3,ﻪﻧﺎﻧﺯ,ﮏﻣﺭﮔ ﺏﺁ ﻪﻳﺭﻗ,3107125,ﺱﻳﻏﺩﺎﺑ,3
600,1,ﻪﻧﺎﻧﺯ,ﺯﮐﺭﻣ ﺏﺗﮑﻣ,3107124,ﺱﻳﻏﺩﺎﺑ,4
600,2,ﻪﻧﺍﺩﺭﻣ,ﺯﮐﺭﻣ ﺏﺗﮑﻣ,3107124,ﺱﻳﻏﺩﺎﺑ,5
600,3,ﻪﻧﺍﺩﺭﻣ,ﺯﮐﺭﻣ ﺏﺗﮑﻣ,3107124,ﺱﻳﻏﺩﺎﺑ,6
600,4,ﻪﻧﺍﺩﺭﻣ,ﺯﮐﺭﻣ ﺏﺗﮑﻣ,3107124,ﺱﻳﻏﺩﺎﺑ,7
600,5,ﻪﻧﺍﺩﺭﻣ,ﺯﮐﺭﻣ ﺏﺗﮑﻣ,3107124,ﺱﻳﻏﺩﺎﺑ,8
600,4,ﻪﻧﺎﻧﺯ,ﻕﺎﺗ ﺭﺎﻬﭼ ﺏﺗﮑﻣ,3106089,ﺱﻳﻏﺩﺎﺑ,9
600,2,ﻪﻧﺎﻧﺯ,ﺭﺎﻬﭼ ﻪﻣﺷﭼ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3106105,ﺱﻳﻏﺩﺎﺑ,10
600,3,ﻪﻧﺎﻧﺯ,ﻥﻳﺎﭘ یﺭﻳﺯ ﻝﮔ ﺩﺟﺳﻣ,3106197,ﺱﻳﻏﺩﺎﺑ,11
600,1,ﻪﻧﺍﺩﺭﻣ,ﻼﻣ ﺕﺭﺿﺣ ﺩﺟﺳﻣ,3106200,ﺱﻳﻏﺩﺎﺑ,12
600,2,ﻪﻧﺍﺩﺭﻣ,ﻼﻣ ﺕﺭﺿﺣ ﺩﺟﺳﻣ,3106200,ﺱﻳﻏﺩﺎﺑ,13
600,1,ﻪﻧﺍﺩﺭﻣ,ﯽﻧﺎﺟﻳﺟ ﺏﺗﮑﻣ,3106095,ﺱﻳﻏﺩﺎﺑ,14
600,2,ﻪﻧﺍﺩﺭﻣ,ﯽﻧﺎﺟﻳﺟ ﺏﺗﮑﻣ,3106095,ﺱﻳﻏﺩﺎﺑ,15
600,3,ﻪﻧﺎﻧﺯ,ﯽﻧﺎﺟﻳﺟ ﺏﺗﮑﻣ,3106095,ﺱﻳﻏﺩﺎﺑ,16
600,1,ﻪﻧﺍﺩﺭﻣ,ﻥﺎﻳﺩﺎﮐ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3106103,ﺱﻳﻏﺩﺎﺑ,17
600,2,ﻪﻧﺍﺩﺭﻣ,ﻥﻼﮐ ﺩﺟﺳﻣ,3106097,ﺱﻳﻏﺩﺎﺑ,18
600,3,ﻪﻧﺎﻧﺯ,ﻭﻧ ﻝﻳﻣ ﺩﻳﺟﺳﻣ,3106093,ﺱﻳﻏﺩﺎﺑ,19
600,2,ﻪﻧﺎﻧﺯ,ﮏﻳﺎﻧ ﻊﻣﺎﺟ ﺩﺟﺳﻣ,3104077,ﺱﻳﻏﺩﺎﺑ,20
600,1,ﻪﻧﺍﺩﺭﻣ,ﺩﺍﺯﺁ یﺎﺿﻓ,3106195,ﺱﻳﻏﺩﺎﺑ,21
600,2,ﻪﻧﺍﺩﺭﻣ,ﺩﺍﺯﺁ یﺎﺿﻓ,3106195,ﺱﻳﻏﺩﺎﺑ,22
600,3,ﻪﻧﺎﻧﺯ,ﺩﺍﺯﺁ یﺎﺿﻓ,3106195,ﺱﻳﻏﺩﺎﺑ,23
600,2,ﻪﻧﺎﻧﺯ,ﻭﮔﺭﻭﺍ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3106108,ﺱﻳﻏﺩﺎﺑ,24
600,1,ﻪﻧﺍﺩﺭﻣ,ﻭﺗﺑﭘ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3107140,ﺱﻳﻏﺩﺎﺑ,25
600,2,ﻪﻧﺎﻧﺯ,ﻭﺗﺑﭘ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3107140,ﺱﻳﻏﺩﺎﺑ,26
600,3,ﻪﻧﺍﺩﺭﻣ,ﻭﺗﺑﭘ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3107140,ﺱﻳﻏﺩﺎﺑ,27
600,4,ﻪﻧﺍﺩﺭﻣ,ﻭﺗﺑﭘ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3107140,ﺱﻳﻏﺩﺎﺑ,28
600,2,ﻪﻧﺎﻧﺯ,ﺕﺎﺑﺭ ﺩﺟﺳﻣ,3106112,ﺱﻳﻏﺩﺎﺑ,29
600,1,ﻪﻧﺍﺩﺭﻣ,ﻩﻭﺎﺗﺭﺳ ﺩﺟﺳﻣ,3106107,ﺱﻳﻏﺩﺎﺑ,30
600,2,ﻪﻧﺎﻧﺯ,ﻩﻭﺎﺗﺭﺳ ﺩﺟﺳﻣ,3106107,ﺱﻳﻏﺩﺎﺑ,31
600,1,ﻪﻧﺍﺩﺭﻣ,ﻪﮕﻧﻠﺧﺗ ﺩﺟﺳﻣ,3106201,ﺱﻳﻏﺩﺎﺑ,32
599,2,ﻪﻧﺍﺩﺭﻣ,ﺭﻭﺧ ﺏﺁ ﺏﺗﮑﻣ,3106094,ﺱﻳﻏﺩﺎﺑ,33
599,2,ﻪﻧﺎﻧﺯ,ﺩﻳﺑ ﻪﻣﺷﭼ ﺩﺟﺳﻣ,3106104,ﺱﻳﻏﺩﺎﺑ,34
599,4,ﻪﻧﺍﺩﺭﻣ,ﻁﺎﺑﺭ ﮏﻳﻧﻳﻠﮐ ﻭ ﯽﻟﺍﻭﺳﻟﻭ ﺭﻳﻣﻌﺗ,3103020,ﺱﻳﻏﺩﺎﺑ,35
599,2,ﻪﻧﺎﻧﺯ,ﻥﻼﮐ ﻭﻏ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,3106110,ﺱﻳﻏﺩﺎﺑ,36
