ﮐﻭﺩ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻭﻻﻳﺕ,ﻭﻟﺳﻭﺍﻟﻲ,ﻧﺎﻡ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﻭﻗﻳﻌﺕ ﻣﺭﮐﺯ ﺭﺍﻳﺩﻫﯽ,ﻣﺣﻼﺕ ﻣﺭﺩﺍﻧﻪ,ﻣﺣﻼﺕ ﺯﻧﺎﻧﻪ,ﻣﺟﻣﻭﻉ ﻣﺣﻼﺕ
0115482,ﮐﺎﺑﻝ,ﺳﺭﻭﺑﯽ,ﻣﮑﺗﺏ ﻗﻠﻌﻪ ﮐﻼﻥ,ﻗﻠﻌﻪ ﮐﻼﻥ,2,2,4
0115486,ﮐﺎﺑﻝ,ﺳﺭﻭﺑﯽ,ﻣﺳﺟﺩ ﺑﺎﻡ ﺩړﻱ,ﺑﺎﻡ ﺩړﻱ,2,2,4
0115487,ﮐﺎﺑﻝ,ﺳﺭﻭﺑﯽ,ﻣﺳﺟﺩ ﮔﺎﺯ ﻋﻠﻳﺎ,ﻭﺯﺑﻳﻥ، ﮔﺎﺯ ﻋﻠﻳﺎ,2,3,5
0115518,ﮐﺎﺑﻝ,ﺳﺭﻭﺑﯽ,ﻣﮑﺗﺏ ﺳﭘﻳﺭ ﮐﻭﻧﺩی,ﺳﭘﻳﺭ ﮐﻭﻧﺩی,1,1,2
0203069,ﮐﺎﭘﻳﺳﺎ,ﮐﻭﻩ ﺑﻧﺩ,ﻣﺳﺟﺩ ﺣﺑﻳﺏ ﺧﻳﻝ,ﺩﺭﻧﺎﻣﻪ,2,1,3
0203072,ﮐﺎﭘﻳﺳﺎ,ﮐﻭﻩ ﺑﻧﺩ,ﻣﺳﺟﺩ ﻫﺯﺍﺭﻭ ﺧﻳﻝ,ﺩﺭﻧﺎﻣﻪ,2,1,3
0206080,ﮐﺎﭘﻳﺳﺎ,ﺗﮕﺎﺏ,ﻣﺳﺟﺩ ﺗﺗﺭ ﺧﻳﻝ,ﺗﺗﺭ ﺧﻳﻝ,2,1,3
0206095,ﮐﺎﭘﻳﺳﺎ,ﺗﮕﺎﺏ,ﻣﺗﻭﺳﻁﻪ ﺷﻬﻳﺩ ﺣﻔﻳﻅ ﷲ,ﺷﮑﻭﺕ,3,0,3
0206097,ﮐﺎﭘﻳﺳﺎ,ﺗﮕﺎﺏ,ﻣﺳﺟﺩ ﺗﺗﺎﺭﺧﻳﻝ,ﺗﺗﺎﺭﺧﻳﻝ )ﮐﻭﭼﻳﺎﻥ(,1,1,2
0207109,ﮐﺎﭘﻳﺳﺎ,ﺍﻟﻪ ﺳﺎی,ﻟﻳﺳﻪ ﺣﻳﺎﺕ ﷲ ﺷﻬﻳﺩ ) ﮐﻭﭼﯽ(,ﻣﺭﮐﺯ ﺍﻟﻪ ﺳﺎی,2,1,3
0303074,ﭘﺭﻭﺍﻥ,ﺷﻳﻧﻭﺍﺭی,ﻣﮑﺗﺏ ﺟﺎﻥ ﻓﺩﺍ ﺷﻬﻳﺩ,ﺷﻳﻭﻩ,1,1,2
0303076,ﭘﺭﻭﺍﻥ,ﺷﻳﻧﻭﺍﺭی,ﻣﺩﺭﺳﻪ ﺩﺭﺍﺯ ﮔﺭﺩ,ﺩﺭﺍﺯ ﮔﺭﺩ,2,1,3
0401009,ﻭﺭﺩک,ﻣﻳﺩﺍﻥ ﺷﻬﺭ,ﻣﮑﺗﺏ ﮐﻬﻧﻪ ﺧﻣﺎﺭ,ﮐﻬﻧﻪ ﺧﻣﺎﺭ,2,1,3
0404083,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﺟﻭﺍﺭ ﻣﻧﺯﻝ ﺻﺎﻟﺢ ﻣﺣﻣﺩ,ﻗﺭﻳﻪ ﻧﻭﺭﺧﻳﻝ,1,1,2
0404085,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺳﺭ ﮐﻭﻩ,ﻟﻧﺩﻭ,1,1,2
0404086,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﻣﺣﻠﯽ,ﺑﻭﻧﺎﻥ,2,1,3
0404087,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﮐﻠﻳﻧﻳﮏ ﺻﺣﯽ ﻗﺭﻳﻪ ﺳﻳﺑﮏ,ﻗﺭﻳﻪ ﺳﻳﺑﮏ,1,1,2
0404091,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﺟﻭﺍﺭ ﻣﻧﺯﻝ ﻣﻧﮕﻝ,ﻗﻠﻌﻪ ﻗﺭﺑﺎﻧﯽ,1,1,2
0404092,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﻋﺭﺑﺎﻥ,ﺷﺎﺑﺎﺯ ﺧﺎﻥ,2,1,3
0404093,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻧﺯﺩﻳﮏ ﺧﺎﻧﻪ ﺷﺧﺻﯽ ﻣﻠﮏ ﻗﺭﻳﻪ,ﻣﻭﻧﮕﻳﺎﺭ ﺧﻳﻝ,2,1,3
0404094,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺷﮑﺭﺩﺍﺩ,ﻗﺭﻳﻪ ﺷﮑﺭﺩﺍﺩ,1,1,2
0404095,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺻﺎﺣﺏ ﭼﺎﺭﻗﻠﻌﻪ,ﭼﺎﺭﻗﻠﻌﻪ,1,1,2
0404096,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﻧﻭﺭﺍﻟﻣﺩﺭﺱ,ﻣﻳﺎﻧﻪ ﻗﻝ,1,1,2
0404098,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﮑﺗﺏ ﺍﺑﺗﺩﺍﺋﻳﻪ ﺷﻳﺭﺯﺍﺩ,ﺷﺭﻳﻑ ﺧﻳﻝ,1,1,2
0404099,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﻣﺳﺟﺩ ﻗﺭﻳﻪ ﺯﺭﮐﮏ,ﻗﺭﻳﻪ ﮔﻭﺩﻩ ﺯﺭﮐﮏ,1,1,2
0404100,ﻭﺭﺩک,ﭼﮏ ﻭﺭﺩک,ﭘﻬﻠﻭی ﻣﻧﺯﻝ ﻗﺎﺿﯽ ﻋﻠﻡ ﮔﻝ,ﻗﺭﻳﻪ ﮐﺭﺍﮐﺕ,2,1,3
