 ﺕﻼﺣﻣ ﻉﻭﻣﺟﻣ ,ﻪﻧﺎﻧﺯ ﺕﻼﺣﻣ   ,  ﻪﻧﺍﺩﺭﻣ ﺕﻼﺣﻣ  ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺕﻌﻳﻗﻭﻣ,ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,ﻲﻟﺍﻭﺳﻟﻭ,ﺕﻳﻻﻭ,  ﯽﻫﺩﻳﺍﺭ ﺯﮐﺭﻣ ﺩﻭﮐ 
4,2,2,ﻥﻼﮐ ﻪﻌﻠﻗ,ﻥﻼﮐ ﻪﻌﻠﻗ ﺏﺗﮑﻣ,ﯽﺑﻭﺭﺳ,ﻝﺑﺎﮐ,0115482
4,2,2,ﻱړﺩ ﻡﺎﺑ ,ﻱړﺩ ﻡﺎﺑ ﺩﺟﺳﻣ,ﯽﺑﻭﺭﺳ,ﻝﺑﺎﮐ,0115486
5,3,2,ﺎﻳﻠﻋ ﺯﺎﮔ ،ﻥﻳﺑﺯﻭ,ﺎﻳﻠﻋ ﺯﺎﮔ ﺩﺟﺳﻣ,ﯽﺑﻭﺭﺳ,ﻝﺑﺎﮐ,0115487
2,1,1,یﺩﻧﻭﮐ ﺭﻳﭘﺳ,یﺩﻧﻭﮐ ﺭﻳﭘﺳ ﺏﺗﮑﻣ ,ﯽﺑﻭﺭﺳ,ﻝﺑﺎﮐ,0115518
3,1,2, ﻪﻣﺎﻧﺭﺩ, ﻝﻳﺧ ﺏﻳﺑﺣ ﺩﺟﺳﻣ,ﺩﻧﺑ ﻩﻭﮐ,ﺎﺳﻳﭘﺎﮐ,0203069
3,1,2, ﻪﻣﺎﻧﺭﺩ, ﻝﻳﺧ ﻭﺭﺍﺯﻫ ﺩﺟﺳﻣ,ﺩﻧﺑ ﻩﻭﮐ,ﺎﺳﻳﭘﺎﮐ,0203072
3,1,2,ﻝﻳﺧ ﺭﺗﺗ ,ﻝﻳﺧ ﺭﺗﺗ ﺩﺟﺳﻣ, ﺏﺎﮕﺗ,ﺎﺳﻳﭘﺎﮐ,0206080
3,0,3,ﺕﻭﮑﺷ ,ﷲ ﻅﻳﻔﺣ ﺩﻳﻬﺷ ﻪﻁﺳﻭﺗﻣ, ﺏﺎﮕﺗ,ﺎﺳﻳﭘﺎﮐ,0206095
2,1,1,(ﻥﺎﻳﭼﻭﮐ) ﻝﻳﺧﺭﺎﺗﺗ,ﻝﻳﺧﺭﺎﺗﺗ ﺩﺟﺳﻣ, ﺏﺎﮕﺗ,ﺎﺳﻳﭘﺎﮐ,0206097
3,1,2, یﺎﺳ ﻪﻟﺍ ﺯﮐﺭﻣ,(ﯽﭼﻭﮐ ) ﺩﻳﻬﺷ ﷲ ﺕﺎﻳﺣ ﻪﺳﻳﻟ, یﺎﺳ ﻪﻟﺍ,ﺎﺳﻳﭘﺎﮐ,0207109
2,1,1,ﻩﻭﻳﺷ,ﺩﻳﻬﺷ ﺍﺩﻓ ﻥﺎﺟ ﺏﺗﮑﻣ, یﺭﺍﻭﻧﻳﺷ,ﻥﺍﻭﺭﭘ,0303074
3,1,2,ﺩﺭﮔ ﺯﺍﺭﺩ,ﺩﺭﮔ ﺯﺍﺭﺩ ﻪﺳﺭﺩﻣ, یﺭﺍﻭﻧﻳﺷ,ﻥﺍﻭﺭﭘ,0303076
3,1,2,ﺭﺎﻣﺧ ﻪﻧﻬﮐ,ﺭﺎﻣﺧ ﻪﻧﻬﮐ ﺏﺗﮑﻣ,ﺭﻬﺷ ﻥﺍﺩﻳﻣ,کﺩﺭﻭ,0401009
2,1,1,ﻝﻳﺧﺭﻭﻧ ﻪﻳﺭﻗ,ﺩﻣﺣﻣ ﺢﻟﺎﺻ ﻝﺯﻧﻣ ﺭﺍﻭﺟ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404083
2,1,1,ﻭﺩﻧﻟ,ﻩﻭﮐ ﺭﺳ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404085
3,1,2,ﻥﺎﻧﻭﺑ,ﯽﻠﺣﻣ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404086
2,1,1,ﮏﺑﻳﺳ ﻪﻳﺭﻗ,ﮏﺑﻳﺳ ﻪﻳﺭﻗ ﯽﺣﺻ ﮏﻳﻧﻳﻠﮐ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404087
2,1,1,ﯽﻧﺎﺑﺭﻗ ﻪﻌﻠﻗ,ﻝﮕﻧﻣ ﻝﺯﻧﻣ ﺭﺍﻭﺟ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404091
3,1,2,ﻥﺎﺧ ﺯﺎﺑﺎﺷ,ﻥﺎﺑﺭﻋ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404092
3,1,2,ﻝﻳﺧ ﺭﺎﻳﮕﻧﻭﻣ, ﻪﻳﺭﻗ ﮏﻠﻣ ﯽﺻﺧﺷ ﻪﻧﺎﺧ ﮏﻳﺩﺯﻧ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404093
2,1,1,ﺩﺍﺩﺭﮑﺷ ﻪﻳﺭﻗ,ﺩﺍﺩﺭﮑﺷ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404094
2,1,1,ﻪﻌﻠﻗﺭﺎﭼ,   ﻪﻌﻠﻗﺭﺎﭼ ﺏﺣﺎﺻ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404095
2,1,1,ﻝﻗ ﻪﻧﺎﻳﻣ,  ﺱﺭﺩﻣﻟﺍﺭﻭﻧ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404096
2,1,1,ﻝﻳﺧ ﻑﻳﺭﺷ,    ﺩﺍﺯﺭﻳﺷ ﻪﻳﺋﺍﺩﺗﺑﺍ ﺏﺗﮑﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404098
2,1,1,ﮏﮐﺭﺯ ﻩﺩﻭﮔ ﻪﻳﺭﻗ,ﮏﮐﺭﺯ ﻪﻳﺭﻗ ﺩﺟﺳﻣ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404099
3,1,2,ﺕﮐﺍﺭﮐ ﻪﻳﺭﻗ,ﻝﮔ ﻡﻠﻋ ﯽﺿﺎﻗ ﻝﺯﻧﻣ یﻭﻠﻬﭘ,کﺩﺭﻭ ﮏﭼ,کﺩﺭﻭ,0404100
