number,pc_district,pc_code,pc_name,ps_code
﻿١,کابل,0101089,ليسه ناھيد شھيد,1
2,کابل,0101086,ليسه حضرت شمس المشايخ,1
3,کابل,0101111,مسجد جعفريه,1
4,کابل,0101209,مسجد حضرت داود,1
5,فراه,3311190,مسجد سپا وست,1
6,فراه,3311193,مسجد واسپ,1
7,لغمان,0704085,ادھار کلی ديره,1
8,ننگرھار,0602072,بحرآباد ليسه,1
9,غزنی,1101040,پھلوی خانه فاروق,1
10,بلخ,2107238,تعمير جديد ولسوالی,1
11,بدخشان,1707062,جوار منزل زمان الدين و حاجی حبيب +,1
12,ننگرھار,0603081,چکنوري جومات,1
13,پکتيکا,1218239,حاجی بلول ميلمستون ترڅيرمه,1
14,پنجشير,0807106,خيمه,1
15,فراه,3301037,خيمه شمال شرق قريه شوراب,1
16,خوست,1405070,د باډک ھجره,1
17,لغمان,0704063,د تندرود ښوونځی,1
18,کندھار,2703070,د حاجي سيف + تيلو پمپ ډالی مکتب,1
19,کندھار,2715255,د حاجي منان كور ته نږدی,1
20,ارزگان,2502038,د ديب سنګ کلی ليسه,1
21,کندھار,2711220,د شھيد عبد+ جان مكتب,1
22,کندھار,2701010,د عينو منځني ښوونځي,1
23,کندھار,2711224,د غازي عبد+ خان ليسه,1
24,کندھار,2714200,د فيض محمد كور ترڅيرمه,1
25,لغمان,0701005,د ګمين دکلي جومات اوښوونځی,1
26,کندھار,2703072,د لطيف آغا مکتب,1
27,خوست,1401005,د ملزيو جومات,1
28,غزنی,1107219,د مھتر ګوډلو د کلی مکتب,1
29,کندھار,2701022,د ميرويس ميني اناث مكتب,1
30,لغمان,0704064,د ورناټا دکلي جومات,1
31,ھلمند,3005211,د ولسوالي کلينيک,1
32,کندھار,2714201,د ولسوالي مركز,1
33,کندھار,2715254,د ولسوالي مركز,1
34,خوست,1401015,د يعقوبيو اډې جومات,1
35,لغمان,0703097,داسالم آباد دھلکانو او نجونو ښوونځي,1
36,ننگرھار,0605174,درمان ښوونځی,1
37,لغمان,0702038,دصواتي ښونځي,1
38,لغمان,0705115,دولت شاه مسجد,1
39,کندھار,2701054,رياست کادستر,1
40,ننگرھار,0607134,زاخيل ابتدائيه مکتب,1
41,پکتيکا,1211172,زوړ ارګون نجونو ښوونځی,1
42,ننگرھار,0601033,زيړ جومات,1
43,کاپيسا,0205050,ساحه آزاد,1
44,ھلمند,3001002,سينمای لشکرگاه,1
45,ننگرھار,0602048,شھيد سردار محمد داوود خان ليسه,1
46,پکتيکا,1210158,عباس خيل ښوونځی,1
47,بغالن,0901017,قريه سفيد خان غروشاخ,1
48,کندھار,2714202,كسمزي,1
49,کندھار,2710135,كلينيك  بند تيمور,1
50,کندھار,2708248,كلينيك كرم خيل,1
51,غزنی,1105060,کتب انوار العلوم,1
52,لوگر,0504046,ليسه خوشى و مکتب ميانه ده اناث,1
53,کندز,1904143,ليسه آقتاش,1
54,غزنی,1106111,ليسه بی بی ھاجر جرمتو,1
55,بغالن,0902084,ليسه پشه قل,1
56,پنجشير,0803043,ليسه ذکورکرامان,1
57,بغالن,0914224,ليسه زکور غارو,1
58,غزنی,1101027,ليسه سنائی,1
59,غزنی,1112196,ليسه شھيد حبيب + خادم,1
60,فراه,3307064,ليسه شيخ عبدالصمد نظری,1
61,بلخ,2103050,ليسه عالی شھيد بلخی,1
62,بدخشان,1707063,ليسه عالی مدينه,1
63,بدخشان,1716099,ليسه کزده,1
64,غزنی,1101028,ليسه نسوان مغالن,1
65,بغالن,0909193,ليسه يرم عليا,1
66,پکتيکا,1205075,مارزک ھلکانو ښوونځی,1
67,نورستان,1601006,متوسطه ذکور پرونز,1
68,کاپيسا,0206085,متوسطه شھيد سليم,1
69,ننگرھار,0601039,مجبور آباد جامع جومات,1
70,کندھار,2708246,محمد نيكه مكتب,1
71,بغالن,0908185,مدرسه امام قطيبه,1
72,ارزگان,2501052,مدرسه مال ميرباز زيارت,1
73,کابل,0101327,مرکز ناحيه ٧١,1
74,بغالن,0904266,مسجد,1
75,فراه,3311206,مسجد ايجن,1
76,غزنی,1111150,مسجد باال قريه گنگی,1
77,ھرات,3210415,مسجد پايين محمد آباد چشمه خافی زنانه,1
78,ھرات,3212385,مسجد تگاب ماھی,1
79,پروان,0306069,مسجد جامع اونامک,1
80,بغالن,0911172,مسجد جامع ترمش,1
81,باميان,1003046,مسجد جو دره,1
82,ھرات,3214465,مسجد جوي نو,1
83,باميان,1003047,مسجد چراغدان,1
84,ھرات,3207194,مسجد چھل دختر دوم,1
85,کابل,0101512,مسجد حاجی باز,1
86,ارزگان,2501003,مسجد حاجی ظاھر,1
87,بدخشان,1703222,مسجد خانقاه,1
88,بلخ,2115312,مسجد دشت قدوق,1
89,غزنی,1106108,مسجد ده رمزی,1
90,غزنی,1111195,مسجد سيد عالم دفتانی گوډول,1
91,پنجشير,0807082,مسجد شانيز,1
92,بلخ,2107272,مسجد طبياق,1
93,فراه,3301006,مسجد عسکر آباد,1
94,غزنی,1110282,مسجد فراخ تاله,1
95,کنرھا,1511119,مسجد قريه,1
96,غزنی,1107244,مسجد قريه چنګاه سفلی,1
97,بادغيس,3106111,مسجد قريه دھن دو آبی,1
98,غزنی,1107231,مسجد قريه ميدادوال,1
99,فراه,3311245,مسجد قريه وال,1
100,فراه,3311217,مسجد کاوان مغل,1
101,بادغيس,3106097,مسجد کالن,1
102,وردک,0402156,مسجد کالن شادی کال,1
103,کابل,0101090,مسجد محمدي دارالحفاظ,1
104,کاپيسا,0206076,مسجد مقام خيل,1
105,غزنی,1106117,مسجد نو ده شاشی,1
106,فراه,3311218,مسجد ويردری,1
107,ھرات,3211455,مسجدجامع عبد+ خان,1
108,غزنی,1111185,مکتب  ابو ريحان,1
109,فارياب,2904076,مکتب ابتدای خوش بايی,1
110,نيمروز,3406047,مکتب ابتدايی اناث,1
111,بلخ,2102070,مکتب ابتدائيه علی سينا بلخی,1
112,غزنی,1106119,مکتب احمدا,1
113,بغالن,0904132,مکتب اره کش,1
114,بغالن,0904144,مکتب الحاقيه خواجه خضر,1
115,بغالن,0910161,مکتب اناث تنگی مرچ,1
116,فارياب,2907094,مکتب ايتی سليق,1
117,بادغيس,3106094,مکتب آب خور,1
118,بلخ,2111191,مکتب بدايع بلخی,1
119,غزنی,1106121,مکتب بی بی فاطمه زھرا,1
120,بلخ,2107251,مکتب بی بی مريم,1
121,ھرات,3207183,مکتب جعفر بيک کاودانی,1
122,بلخ,2109142,مکتب چھار باغ سيدان,1
123,باميان,1006096,مکتب دخترانه پشت تيلگراف,1
124,ھرات,3214300,مکتب دخترانه مير سادات,1
125,ھرات,3204162,مکتب درخت توت,1
126,بغالن,0902080,مکتب دشتک علی جم,1
127,بدخشان,1725194,مکتب دند قريه دند,1
128,بلخ,2111189,مکتب دھنو,1
129,بدخشان,1701021,مکتب ديگه,1
130,بلخ,2108214,مکتب سر آسياب,1
131,غور,2306075,مکتب سر چشمه,1
132,بلخ,2114288,مکتب سراب,1
133,بدخشان,1711184,مکتب سيدان,1
134,بدخشان,1720242,مکتب سيل دان,1
135,بغالن,0910154,مکتب شرشر,1
136,بدخشان,1722265,مکتب غمی,1
137,بغالن,0909190,مکتب غوری سنگ,1
138,ھرات,3215363,مکتب قريه پيازک,1
139,غزنی,1110265,مکتب قريه قوريه,1
140,ھرات,3207178,مکتب کاريز نو,1
141,بغالن,0904134,مکتب لکن خيل,1
142,بغالن,0905048,مکتب ليسه قيصرخيل,1
143,بغالن,0911169,مکتب ليسه وادو,1
144,بغالن,0910162,مکتب متوسطه بابه عايب,1
145,کندز,1901044,مکتب متوسطه خزانی,1
146,بدخشان,1702286,مکتب متوسطه گنده چشمه,1
147,بلخ,2102067,مکتب موالنا جال ل الدين,1
148,بغالن,0914280,مکتب نسوان محمد حنيف,1
149,بدخشان,1722263,مکتب ورفد,1
150,بدخشان,1702045,مکتب يرنشه,1
151,کابل,0106391,ليسه غازه,2
152,کابل,0101490,ليسه نسوان سردار کابلی,2
153,کابل,0101123,مدرسه رسالت,2
154,فراه,3303056,مسجد جيجه,2
155,فراه,3311190,مسجد سپا وست,2
156,فراه,3311198,مسجد کوت,2
157,کابل,0101192,مسجد لغمانی ھا,2
158,فراه,3311209,مسجد نر غر,2
159,فراه,3311193,مسجد واسپ,2
160,لغمان,0704085,ادھار کلی ديره,2
161,بلخ,2107238,تعمير جديد ولسوالی,2
162,ننگرھار,0601024,تقوا جومات,2
163,غور,2308224,جوار خانه  عبدالسالم,2
164,ننگرھار,0603081,چکنوري جومات,2
165,کندھار,2701033,د پالن عمومي رياست,2
166,لغمان,0704063,د تندرود ښوونځی,2
167,لغمان,0701006,د تيرګړٻو جومات,2
168,پکتيکا,1209110,د جانی خيلو بازار جومات,2
169,کندھار,2715255,د حاجي منان كور ته نږدی,2
170,کندھار,2711211,د څارنواليۍ تعمير,2
171,خوست,1403147,د شھيد محمد قادر محمد ليسه,2
172,کندھار,2711210,د عبدالصمد خان مكتب,2
173,ننگرھار,0610332,د غوښت ميدان,2
174,کندھار,2711217,د فرمان + كور ترڅيرمه,2
175,غزنی,1107219,د مھتر ګوډلو د کلی مکتب,2
176,کندھار,2702112,د مولوی عبدالواسع مكتب,2
