district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat,closed
"Achin",15,06,"قریه",0615385,"Bandar Khola","Bandar Khola Jaame Mosque","Nangarhar",0,2,2,"Village",70.763745,34.069796,1
"Pasaband",05,23,"تعمیر",2305134,"Surkhak Village","Surkhak Village Mosque","Ghor",1,1,2,"Building",65.229995,33.605979,1
"Kushk (Rubat-E-Sangi)",07,32,"تعمیر",3207180,"Khwaja Sabz Posh","Khwaja Sabz Posh School","Herat",1,2,3,"Building",62.019112,34.976617,1
"Shah Joi",06,26,"قریه",2606071,"Zargan","Bagh Naso Mosque","Zabul",1,2,3,"Village",67.304001,32.698926,1
"Arghandab",05,26,"قریه",2605061,"Khwazangi","Moque","Zabul",1,2,3,"Village",66.963312,32.517357,1
"Shemel Zayi",10,26,"تعمیر",2610080,"Omran Villge","House","Zabul",1,2,3,"Building",67.609766,31.737290,1
"Shemel Zayi",10,26,"تعمیر",2610081,"Seen Zai","House","Zabul",1,2,3,"Building",67.743037,32.016407,1
"Adraskan",09,32,"تعمیر",3209480,"Dara Bast","Dara Bast Mosque","Herat",1,2,3,"Building",62.747193,33.562436,1
"Dawlat Shah",05,07,"تعمیر",0705136,"Kasheedor","Mosque","Laghman",1,2,3,"Building",70.078402,35.002724,1
"Dangam",12,15,"تعمیر",1512123,"Shokano","Mosque","Kunar",1,2,3,"Building",71.410734,35.039423,1
"Mizan",04,26,"قریه",2604057,"Pitab Jar Kana","Moque","Zabul",1,2,3,"Village",66.538375,32.251242,1
"Arghandab",05,26,"تعمیر",2605065,"Miran, Kotani","Moque","Zabul",1,2,3,"Building",66.715777,32.406744,1
"Arghandab",05,26,"قریه",2605066,"Karto Kariz","Moque","Zabul",1,2,3,"Village",67.152766,32.523648,1
"Naw Bahar",09,26,"قریه",2609075,"Omar Zai","Mosque","Zabul",1,2,3,"Village",67.464564,32.008499,1
"Naw Bahar",09,26,"تعمیر",2609076,"Lwar Magha, Shin Zai","House","Zabul",1,2,3,"Building",67.708100,32.201668,1
"Deh Bala",10,06,"قریه",0610324,"Jawdara","Jawdara Malak Sher Mohammad Hujra","Nangarhar",1,0,1,"Village",70.480050,34.088058,1
"Pachir Wagam",11,06,"قریه",0611302,"Du Aaba","Lowara Mena Mosque","Nangarhar",1,1,2,"Village",70.397260,34.066914,1
"Shah Joi",06,26,"قریه",2606067,"Surkhakan","Sorkhakan Madrasa","Zabul",1,2,3,"Village",67.308925,32.214727,1
"Shah Joi",06,26,"قریه",2606068,"Khaka","Khaka School","Zabul",1,2,3,"Village",67.385362,32.376187,1
"Mizan",04,26,"قریه",2604058,"Shikan Bakwan","Moque","Zabul",1,2,3,"Village",66.503352,32.237209,1
"Mizan",04,26,"قریه",2604059,"Sar Kali Village","Takhom School","Zabul",1,2,3,"Village",66.528128,32.143166,1
"Arghandab",05,26,"قریه",2605060,"China","Moque","Zabul",1,2,3,"Village",66.982750,32.451182,1
"Naw Bahar",09,26,"قریه",2609077,"Qala Sahak","Sahak Mosque","Zabul",1,2,3,"Village",67.528312,32.158662,1
"Shemel Zayi",10,26,"تعمیر",2610078,"Haidari","Mosque","Zabul",1,2,3,"Building",67.769642,32.069909,1
"Shemel Zayi",10,26,"تعمیر",2610079,"Jahangir","Mosque","Zabul",1,2,3,"Building",67.639390,32.034803,1
"Ghormach",07,31,"قریه",3107141,"Sharshar Village","Sharshar Village","Badghis",1,1,2,"Village",63.768473,35.570981,1
"Gulran",08,32,"قریه",3208218,"Chah Takhta","Chah Takhta Mosque","Herat",1,1,2,"Village",61.971754,35.368726,1
"Dasht-E-Archi",06,19,"تعمیر",1906184,"Zarghoon Village","Zarghoon School","Kunduz",2,2,4,"Building",69.184975,37.004419,1
"Char Dara",02,19,"قریه",1902207,"Baghz Qum Village","Baghz Qum Secondary School","Kunduz",1,1,2,"Village",68.629320,36.824248,1
"Char Sada",04,23,"قریه",2304068,"Chahar Qadoq","Chahar Qadoq Mosque","Ghor",2,1,3,"Village",65.047825,35.249977,1
"Gizab",03,24,"تعمیر",2403104,"Dahn Jangal Qakhor","Dahn Jangal Qakhor Mosque","Daykundi",1,1,2,"Building",65.993712,33.584425,1
"Gizab",03,24,"قریه",2403115,"Pato","Haji Baz Mohammad Mosque","Daykundi",1,1,2,"Village",66.061256,33.602706,1
"Kejran",09,24,"ولسوالی",2409066,"Sayed Abad","Sayed Abad Mosque","Daykundi",1,1,2,"District",65.445043,33.122198,1
"Shinkai",03,26,"تعمیر",2603032,"Spedar Village","Spedar Village Mosque","Zabul",0,2,2,"Building",67.226266,31.915148,1
"Arghandab",05,26,"تعمیر",2605019,"Landi Sardara","Sardara School","Zabul",1,1,2,"Building",67.050198,32.623744,1
"Shinkai",03,26,"قریه",2603054,"Bolan","Bolan Mosque","Zabul",1,2,3,"Village",66.937629,31.900986,1
"Shinkai",03,26,"قریه",2603055,"Roghani","Roghani Mosque","Zabul",1,2,3,"Village",67.407303,32.141382,1
"Arghandab",05,26,"تعمیر",2605062,"Kartash Hulia","Moque","Zabul",1,2,3,"Building",67.274787,32.624397,1
"Arghandab",05,26,"تعمیر",2605063,"Nik Nam","Clinic","Zabul",1,2,3,"Building",67.120188,32.633174,1
