lon,lat,ps_male,pc_name,pc_code,province,ps_total,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
69.18066344000002,34.50867443000002,3,ليسه عاشقان و عارفان,0101001,کابل,6,3,کوچه اچکزی,1,Building,1
69.63338020000002,33.875809480000036,3,مسجد ونس خیل,1308138,پکتيا,3,0,کوندی حسن خیل کلی,13,District,8
70.59428924500006,34.456239627000045,2,دار بنګ مکتب,0605160,ننگرهار,3,1,داربنګ,6,Village,5
69.99698577000001,34.24672994000007,0,ماماخيل ليسه,0619243,ننگرهار,3,3,ماما خيل,6,Village,19
70.92009011000003,34.47952462000006,0,شخصي کور,0614499,ننگرهار,2,2,علي خيل کلی,6,Village,14
62.14273845000007,33.30640805000004,4,مسجد قدیمی قندیز,3214301,هرات,5,1,قندیز,32,Building,14
66.84834686300006,36.91065493600006,1,مسجد جامع خواجه ولی,2106177,بلخ,2,1,شهاب افغانیه,21,Building,6
69.68533361000003,34.887051940000035,4,متوسطه شهید حفیظ الله,0206095,کاپيسا,4,0,شکوت,2,Building,6
68.54131215100004,34.946563160000046,1,کیلینک حیوانی ولسوالی,0310131,پروان,2,1,بازار ولسوالی دشت گذار,3,Building,10
63.24147262000007,34.27624227000005,3,مسجد پشت پاجی,3212376,هرات,5,2,پشت پاجی,32,Village,12
63.057830670000016,34.28907849000005,3,مکتب سیروان,3212377,هرات,5,2,قریه سیروان,32,Building,12
68.86111751000001,35.00530741000004,2,مسجد جامع دو آب,0307090,پروان,3,1,سرپل دو آب,3,District,7
65.70398113000003,34.99556325000003,3,مکتب جنداک,2301039,غور,5,2,جنداک,23,Village,1
70.36992997000003,34.86126123000001,2,دپړوائي ښوونځی,0704076,لغمان,4,2,پړوایی,7,Building,4
71.22808631000001,34.94980635000006,4,مکتب ابتدائیه,1506063,کنړ,6,2,شین کوړک,15,Building,6
71.27483787000004,34.96645553000005,3,تعمیر ولسوالی,1506064,کنړ,5,2,شیگل واشیلتن,15,Building,6
71.39875741000002,35.015600980000045,2,مکتب ابتدائیه,1512054,کنړ,4,2,بیاداد,15,Village,12
64.89160150000002,33.787642380000065,2,خیمه بازار تخته ترمه,2305113,غور,3,1,قریه تخته ترمه,23,Building,5
63.71988353000005,33.97186444000002,3,مکتب تولک,2309178,غور,4,1,قریه خوا جه ها,23,Building,9
63.79730451000003,33.94593145000001,2,مکتب ابتدای سنگ خلق,2309193,غور,3,1,سنگ خلق,23,Building,9
64.47085691000005,32.404516000000044,6,اسعد سوري ليسه,3007196,هلمند,7,1,نوزاد کلان,30,Village,7
64.69830950000004,32.23240214000002,3,د نور محمد كور,3009184,هلمند,5,2,شیرغزی,30,Village,9
64.74522454000001,32.26020614000001,3,خان محمد مسجد,3009185,هلمند,5,2,کاڼی مانده,30,Village,9
63.31073532000003,35.61373847000003,2,مکتب اکازی ها,3105153,بادغيس,3,1,اکازی ها,31,Building,5
63.37038205000002,35.52160345000003,2,مکتب جوی کار,3105158,بادغيس,3,1,جوی کار,31,Building,5
63.324845360000026,35.612154350000026,2,مسجد سر خلنگ جوی گنج,3105188,بادغيس,3,1,سرخلنک جوی گنج,31,Village,5
61.90357121000003,32.90659178000002,1,مسجد کاریز صادق,3303055,فراه,2,1,کاریز صادق,33,Village,3
61.297109710000015,32.29932536000005,2,مسجد حسن آباد علیا,3304072,فراه,3,1,حسن آباد علیا,33,Building,4
62.578462240000064,32.76432537000004,1,خیمه قریه تودنک  ( کوچی ),3306149,فراه,2,1,قریه تودنک,33,Village,6
63.23385868000007,32.555477720000056,1,مسجد مغل آباد,3310177,فراه,2,1,مغل آباد,33,Village,10
69.59841878000002,34.95213325,1,مکتب قاضی عبدالجمیل,0205039,کاپيسا,4,3,افغانیه,2,Building,5
69.64536943000006,34.853588320000036,4,لیسه غازی عثمان,0206078,کاپيسا,4,0,مرکز ولسوالی,2,Building,6
69.39293610000003,34.85720485999999,2,مکتب ملا احمد خیل,0308143,پروان,3,1,ملا احمد خیل,3,Building,8
69.46397381000007,34.79483419000007,1,مکتب دندر,0308144,پروان,2,1,دندر,3,Building,8
70.11452913000004,34.77972019000002,2,دکوټوال خنډودکلي جومات اوعامه برنډه,0703093,لغمان,3,1,عليشنګ,7,Village,3
70.76200808000003,34.614080060000035,1,لیسه ذکور,1514083,کنړ,4,3,برنورگل,15,Building,14
70.63250517000004,36.98623977000003,2,مسجد گزان,1702054,بدخشان,3,1,گزان,17,Building,2
70.65470123000004,37.05528508000002,2,مکتب باغ مبارک,1702055,بدخشان,3,1,باغ مبارک,17,Building,2
64.22200661000002,33.59241815000004,1,مکتب سیب تلخ,2308232,غور,2,1,سیب تلخ,23,Village,8
67.12117059800002,33.90772129000004,2,مسجد,2407191,دایکندی,3,1,شازان,24,Building,7
67.24597724200001,33.832265672000055,2,مسجد,2407192,دایکندی,3,1,غجورک,24,Building,7
66.66672259900007,33.539880313000005,2,مسجد,2402172,دایکندی,3,1,راخان,24,Building,2
68.49832322400002,35.751902467000015,2,مسجد نوآمد,0902260,بغلان,3,1,نوامد قره خوال شلکتو,9,Building,2
68.73000368800004,35.59830178000002,2,مدرسه ابوحنیفه,0903261,بغلان,3,1,خواجه زید سفلی,9,Building,3
69.24840480100002,34.46610113200004,2,مسجد جامع قلعه حسن خان,0104539,کابل,3,1,قلعه حسن خان سفلی,1,Building,4
69.31229847000002,34.49223523900001,2,مسجد مهترلام بابا,0104540,کابل,3,1,حصه دوم سید جمال الدین قریه حسین خیل,1,Building,4
70.37706366600007,34.90686235300005,2,مکتب,0704131,لغمان,3,1,لوکاړ,7,Building,4
70.29734609700003,34.75865579000002,2,مسجد,0704132,لغمان,3,1,چينچار پول,7,Building,4
68.73563169800005,36.29095801700004,2,مسجد ملاخال محمد,0905275,بغلان,3,1,لارخوابی,9,Building,5
69.86438495800004,33.316118869000015,2,جامع جومات,1402177,خوست,3,1,د ديګانو کلى,14,Building,2
71.17524731700006,37.05793335500004,2,مکتب وکیل عبدالجبار,1712305,بدخشان,3,1,درگاب,17,Building,12
66.23617174800005,36.04306646800003,2,مسجد,2204141,سرپل,3,1,سفر قشلاق,22,Building,4
66.37416795600005,31.832221330000017,2,دحاجی عبدالعزیز پمپ,2602052,زابل,3,1,درو,26,Village,2
65.26090340500006,35.723481607000025,2,مکتب ابتدائیه نسوان قلعه تردی,2908212,فارياب,3,1,قلعه توردی,29,Building,8
69.24232755500002,34.50909961000006,2,مسجد حضور حضرت نبی,0101520,کابل,3,1,عقب فابریکه کوکاکولا,1,Building,1
69.16927612200003,34.577129423000024,2,مسجد محمد حنیفه غازی,0101528,کابل,3,1,ناحیه 15,1,Building,1
69.28544614900004,35.142909838,2,متوسطه عبدالهادی شهید,0305154,پروان,3,1,عزت الله خیل / گلبهار,3,Building,5
70.56486252700005,34.414383097000034,2,کلینیک,0605512,ننگرهار,3,1,کوز ده غازی,6,Building,5
