"lon","lat","ps_male","pc_name","pc_code","province","ps_total","district","ps_female","pc_location","iec_prov_id","map_accuracy","iec_district_id"
69.18066344,34.50867443,3,"Ashuqan-O-Arifan High School",101001,"Kabul",6,"Kabul-D01",3,"Achekzai Street",1,"Building",1
69.6333802,33.87580948,3,"Venus Khel Mosque",1308138,"Paktya",3,"Laja Ahmad Khel",0,"Kwandi Hassan Khel Village",13,"District",8
70.594289245,34.456239627,2,"Darbang School",605160,"Nangarhar",3,"Kama",1,"Darbang",6,"Village",5
69.99698577,34.24672994,0,"Mama Khel High School",619243,"Nangarhar",3,"Sher Zad",3,"Mama Khel",6,"Village",19
70.92009011,34.47952462,0,"Private House",614499,"Nangarhar",2,"Goshta",2,"Ali Khel Village",6,"Village",14
62.14273845,33.30640805,4,"Qandiz Qademi Mosque",3214301,"Herat",5,"Shindand",1,"Qandiz",32,"Building",14
66.848346863,36.910654936,1,"Shamsullah Private House",2106177,"Balkh",2,"Balkh",1,"Shahab Afghania Village",21,"Building",6
69.68533361,34.88705194,4,"Shaheed Hafizullah Secondary School",206095,"Kapisa",4,"Tagab",0,"Shokut",2,"Building",6
68.541312151,34.94656316,1,"District Building",310131,"Parwan",2,"Shaykh Ali",1,"District Bazar Dasht-E-Guzar",3,"Building",10
63.24147262,34.27624227,3,"Posht-E- Paji Mosque",3212376,"Herat",5,"Obe",2,"Posht-E- Paji",32,"Village",12
63.05783067,34.28907849,3,"Sarwan School",3212377,"Herat",5,"Obe",2,"Sarwan Village",32,"Building",12
68.86111751,35.00530741,2,"Du Aab Mosque",307090,"Parwan",3,"Syahgirdi Ghorband",1,"Sar-E-Pul Du Aab",3,"District",7
65.70398113,34.99556325,3,"Jandak School",2301039,"Ghor",5,"Chighcheran",2,"Jandak",23,"Village",1
70.36992997,34.86126123,2,"Parwayee School",704076,"Laghman",4,"Alingar",2,"Parwayee",7,"Building",4
71.22808631,34.94980635,4,"Primary School",1506063,"Kunar",6,"Shigal Wa Shiltan",2,"Shenkorak",15,"Building",6
71.27483787,34.96645553,3,"District Compound",1506064,"Kunar",5,"Shigal Wa Shiltan",2,"Shegal Washilton",15,"Building",6
71.39875741,35.01560098,2,"Byadad Primary School",1512054,"Kunar",4,"Dangam",2,"Byadad",15,"Village",12
