PC_number,pc_name,province,district,PS_total_final,PS_planned,ps_diff,ps_male,ps_female,closed,unopened,excluded,Dr_Abdullah_Abdullah,Dr_Mohammad_Ashraf_Ghani_Ahmadzai,Zalmai_Rassoul,Prof_Abdo_Rabe_Rasool_Sayyaf,Eng_Qutbuddin_Hilal,Mohd_Shafiq_Gul_Agha_Sherzai,Mohammad_Daoud_Sultanzoy,Hedayat_Amin_Arsala,Quayum_Karzai,Mohammad_Nadir_Naeem,Abdul_Rahim_Wardak,vote_total,vote_per_ps,Lat,Long
0101001,Ashuqan-O-Arifan High School,Kabul,Kabul-D01,5,5,0,3,2,0,0,0,160,97,56,10,7,10,2,1,0,1,0,344,68,34.50867443000004,69.18066344000002
1308138,Venus Khel Mosque,Paktya,Laja Ahmad Khel,3,3,0,3,0,0,0,0,50,458,298,196,780,10,0,0,0,0,0,1792,597,33.87580948000005,69.63338020000003
0605160,Darbang School,Nangarhar,Kama,3,3,0,2,1,0,0,0,37,802,193,29,105,1,1,2,1,0,0,1171,390,34.45623962700017,70.59428924500008
0619243,Mama Khel High School,Nangarhar,Sher Zad,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.24672994000013,69.99698577000001
0614499,Private House,Nangarhar,Goshta,2,2,0,0,2,0,0,0,183,768,30,7,18,2,4,0,7,1,0,1020,510,34.47952462000011,70.92009011000003
0615385,Bandar Khola Jaame Mosque,Nangarhar,Achin,<null>,2,<null>,2,0,1,0,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.06979582000006,70.76374529000003
3214301,Qandiz Qademi Mosque,Herat,Shindand,4,4,0,3,1,0,0,0,1230,38,65,286,10,2,3,1,0,0,0,1635,408,33.30640805000005,62.14273845000008
3203117,Kochis Location,Herat,Guzara,2,2,0,1,1,0,0,0,141,4,390,118,1,0,0,0,1,2,0,657,328,34.06038433000001,62.37629026000009
2106177,Shamsullah Private House,Balkh,Balkh,2,2,0,1,1,0,0,0,94,254,63,1,0,1,0,0,3,0,0,416,208,36.91065493600006,66.84834686300006
0206095,Shaheed Hafizullah Secondary School,Kapisa,Tagab,<null>,3,<null>,3,0,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.88705194000006,69.68533361000003
0310131,District Building,Parwan,Shaykh Ali,2,2,0,1,1,0,0,0,499,85,182,132,118,1,0,1,1,1,0,1020,510,34.94656316000012,68.54131215100007
3212376,Posht-E- Paji Mosque,Herat,Obe,2,2,0,1,1,0,0,0,479,2,6,98,1,1,2,0,0,0,0,589,294,34.27624227000005,63.24147262000009
3212377,Sarwan School,Herat,Obe,4,5,-1,3,2,0,0,1,214,48,164,72,0,4,6,1,0,3,2,514,128,34.28907849000007,63.05783067000005
0307090,Du Aab Mosque,Parwan,Syahgirdi Ghorband,3,3,0,2,1,0,0,0,343,11,318,264,8,0,19,1,0,0,3,967,322,35.00530741000006,68.86111751000001
2301039,Jandak School,Ghor,Chighcheran,<null>,5,<null>,3,2,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.99556325000001,65.70398113000003
0704076,Parwayee School,Laghman,Alingar,1,2,-1,1,1,0,0,0,15,58,69,115,29,0,0,0,0,0,0,286,286,34.86126123000001,70.36992997000004
0704080,Mango School And Tent,Laghman,Alingar,<null>,2,<null>,1,1,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.8866182900001,70.37945197000006
0704081,Kotaly Islamic Madrassa,Laghman,Alingar,<null>,2,<null>,1,1,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.92327418000006,70.39196032000008
1506063,Primary School,Kunar,Shigal Wa Shiltan,5,5,0,3,2,0,0,0,50,760,93,23,18,1,2,0,4,0,1,952,190,34.94980635000006,71.22808631
1506064,District Compound,Kunar,Shigal Wa Shiltan,5,5,0,3,2,0,0,0,46,753,146,18,73,0,3,1,2,2,0,1044,208,34.96645553000003,71.27483787000004
1512054,Byadad Primary School,Kunar,Dangam,1,4,-3,2,2,0,0,1,2,0,562,0,0,0,2,0,1,2,0,569,569,35.01560098000009,71.39875741000002
2305113,Takhta Tarma Bazar Tent,Ghor,Pasaband,3,3,0,2,1,0,0,0,866,585,178,101,20,3,1,0,0,0,0,1754,584,33.78764238000014,64.89160150000002
2305134,Surkhak Village Mosque,Ghor,Pasaband,<null>,2,<null>,1,1,1,0,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,33.60597896000013,65.2299954800001
2309178,Tolak School,Ghor,Tulak,3,3,0,2,1,0,0,0,474,494,33,225,0,1,3,2,1,1,1,1235,411,33.97186444000007,63.71988353000005
2309186,Tagab Ashlan Secondary School,Ghor,Tulak,<null>,4,<null>,3,1,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.12008072000004,63.63185896000005
2309192,Arbab Mir Gul Private House,Ghor,Tulak,<null>,2,<null>,1,1,0,1,0,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,<null>,,34.15350051000004,63.51956725000007
2309193,Sang Khalq Primary School,Ghor,Tulak,3,3,0,2,1,0,0,0,505,3,21,1205,2,0,6,3,0,0,0,1745,581,33.94593145,63.79730451000005
3007196,Asad Suri High School,Helmand,Nawzad,7,7,0,6,1,0,0,0,304,277,535,23,33,276,9,3,35,39,6,1540,220,32.40451600000003,64.47085691000005
3009184,Noor Mohammad Private House,Helmand,Musa Qala,4,5,-1,3,2,0,0,0,1,47,1286,290,31,48,0,1,0,1,0,1705,426,32.23240214,64.69830950000004
3009185,Khan Mohammad Mosque,Helmand,Musa Qala,5,5,0,3,2,0,0,0,8,130,209,2,18,1,0,1,3,1,1,374,74,32.26020614,64.74522454000005
3105153,Akazi School,Badghis,Bala Murghab,2,2,0,1,1,0,0,0,16,503,285,376,0,0,0,0,1,0,0,1181,590,35.61373847000009,63.31073532000006
