PC_number,PS_total_final,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
0101001,5,7,160,56,0,0,10,97,2,10,1,1,344
0101002,5,13,640,114,2,8,55,315,4,4,4,7,1166
0101003,3,4,355,62,2,0,20,382,2,5,1,4,837
0101004,5,12,669,94,2,0,43,164,5,2,0,1,992
0101005,4,6,269,36,1,6,37,177,0,4,0,1,537
0101006,5,6,338,83,0,3,33,229,7,2,0,2,703
0101007,5,3,199,22,0,1,20,72,2,1,0,0,320
0101008,6,10,732,118,3,2,55,717,1,9,2,0,1649
0101009,4,1,219,45,1,0,7,77,1,2,0,1,354
0101010,5,11,490,63,1,2,50,226,1,2,0,2,848
0101011,3,4,233,70,1,1,7,103,1,6,0,1,427
0101012,2,1,212,15,0,0,5,128,1,7,0,0,369
0101013,5,2,912,258,1,3,4,245,10,23,6,10,1474
0101014,2,3,411,11,0,0,11,38,2,1,0,0,477
0101015,3,11,161,29,0,0,27,71,3,2,0,0,304
0101016,5,7,326,47,0,3,15,137,5,2,1,3,546
0101017,3,3,826,233,4,5,10,159,13,21,5,6,1285
0101018,3,5,272,41,1,1,28,76,5,2,0,2,433
0101019,4,14,594,56,0,0,38,161,15,13,2,1,894
0101020,2,5,231,24,0,1,23,59,3,0,0,1,347
0101021,7,14,433,69,2,3,47,314,4,5,0,0,891
0101022,7,7,369,68,1,1,32,105,2,0,1,0,586
0101023,4,6,322,46,2,2,27,107,3,1,0,2,518
0101024,5,8,927,84,1,1,40,220,6,2,0,3,1292
0101025,7,14,1927,154,0,1,94,453,14,3,1,0,2661
0101026,2,1,539,24,0,0,16,57,2,0,0,1,640
0101027,2,14,571,45,0,0,29,161,4,0,0,1,825
0101028,7,5,696,172,0,1,88,445,3,3,0,2,1415
0101029,5,2,152,41,0,1,6,105,2,7,0,0,316
0101030,3,0,1160,52,0,0,22,111,1,2,0,0,1348
0101031,1,1,70,5,0,0,17,28,1,0,0,0,122
0101032,5,30,909,246,2,1,130,628,4,18,2,2,1972
0101033,6,47,1214,292,0,0,157,784,11,19,1,4,2529
0101034,7,6,834,227,0,0,38,417,8,6,3,5,1544
0101035,8,29,962,275,0,7,86,507,9,13,2,4,1894
0101036,7,11,1429,302,1,3,64,501,21,16,1,4,2353
