PC_number,PS_number,Eng- Qutbuddin Hilal,Dr.Abdullah Abdullah,Zalmai Rassoul,Abdul Rahim Wardak,Quayum Karzai,Prof-Abdo Rabe Rasool Sayyaf,Dr.Mohammad Ashraf Ghani Ahmadzai,Mohammad Daoud Sultanzoy,Mohd. Shafiq Gul Agha Sherzai,Mohammad Nadir Naeem,Hedayat Amin Arsala,Total
101001,1,4,58,15,0,0,6,44,0,4,1,0,132
101001,2,1,28,13,0,0,2,24,1,2,0,0,71
101001,3,1,35,14,0,0,0,14,1,4,0,0,69
101001,4,0,28,8,0,0,0,13,0,0,0,1,50
101001,5,1,11,6,0,0,2,2,0,0,0,0,22
101002,1,5,173,32,1,1,13,109,0,1,0,0,335
101002,2,4,161,24,1,0,14,78,1,2,2,1,288
101002,3,3,128,26,0,1,14,72,1,1,0,1,247
101002,4,0,115,20,0,1,12,42,0,0,1,1,192
101002,5,1,63,12,0,5,2,14,2,0,1,4,104
101003,1,4,145,24,0,0,12,180,1,2,1,0,369
101003,2,0,166,33,1,0,5,166,1,3,0,1,376
101003,3,0,44,5,1,0,3,36,0,0,0,3,92
101004,1,2,167,20,1,0,20,36,0,0,0,0,246
101004,2,4,137,26,0,0,13,39,1,2,0,0,222
101004,3,2,142,13,0,0,6,35,1,0,0,0,199
101004,4,4,114,26,0,0,3,23,1,0,0,0,171
101004,5,0,109,9,1,0,1,31,2,0,0,1,154
101005,1,3,142,13,0,6,14,82,0,2,0,0,262
101005,2,3,106,17,0,0,22,81,0,2,0,1,232
101005,3,0,8,5,0,0,0,6,0,0,0,0,19
101005,4,0,13,1,1,0,1,8,0,0,0,0,24
101006,1,1,90,22,0,2,8,55,1,1,0,1,181
101006,2,0,75,13,0,0,7,45,3,0,0,0,143
101006,3,3,97,26,0,1,12,78,2,1,0,1,221
101006,4,0,26,12,0,0,3,16,0,0,0,0,57
101006,5,2,50,10,0,0,3,35,1,0,0,0,101
101007,1,1,64,11,0,0,4,35,1,0,0,0,116
101007,2,0,38,4,0,0,6,10,0,0,0,0,58
101007,3,1,54,3,0,0,6,10,0,1,0,0,75
101007,4,0,19,0,0,0,3,6,0,0,0,0,28
101007,5,1,24,4,0,1,1,11,1,0,0,0,43
101008,1,2,193,31,3,0,10,231,0,2,0,0,472
101008,2,2,247,30,0,0,13,211,0,0,1,0,504
101008,3,6,214,44,0,2,31,243,0,7,1,0,548
101008,4,0,27,6,0,0,0,8,1,0,0,0,42
101008,5,0,19,3,0,0,1,20,0,0,0,0,43
101008,6,0,32,4,0,0,0,4,0,0,0,0,40
101009,1,1,101,9,1,0,5,34,0,0,0,0,151
101009,2,0,80,12,0,0,2,21,1,1,0,1,118
101009,3,0,12,22,0,0,0,18,0,1,0,0,53
101009,4,0,26,2,0,0,0,4,0,0,0,0,32
101010,1,4,180,12,0,1,17,72,1,1,0,0,288
101010,2,2,127,10,0,0,15,73,0,0,0,1,228
101010,3,5,151,33,1,1,18,66,0,1,0,1,277
101010,4,0,25,5,0,0,0,8,0,0,0,0,38
101010,5,0,7,3,0,0,0,7,0,0,0,0,17
101011,1,1,60,18,0,0,3,27,0,0,0,0,109
101011,2,3,96,20,0,1,4,47,0,6,0,0,177
101011,3,0,77,32,1,0,0,29,1,0,0,1,141
101012,1,1,148,10,0,0,5,104,1,6,0,0,275
101012,2,0,64,5,0,0,0,24,0,1,0,0,94
101013,1,0,192,43,0,1,1,51,0,9,2,3,302
101013,2,1,154,38,0,1,1,44,1,2,0,0,242
101013,3,1,182,57,0,0,2,75,0,6,0,3,326
101013,4,0,199,62,0,1,0,41,5,2,1,3,314
101013,5,0,185,58,1,0,0,34,4,4,3,1,290
101014,1,1,267,5,0,0,9,31,0,1,0,0,314
101014,2,2,144,6,0,0,2,7,2,0,0,0,163
101015,1,2,63,10,0,0,10,24,0,1,0,0,110
101015,2,9,82,11,0,0,15,43,1,1,0,0,162
101015,3,0,16,8,0,0,2,4,2,0,0,0,32
101016,1,2,85,15,0,0,4,29,3,0,1,0,139
101016,2,4,82,9,0,2,5,54,0,1,0,2,159
101016,3,1,67,16,0,1,4,41,1,1,0,0,132
101016,4,0,54,5,0,0,2,1,1,0,0,0,63
101016,5,0,38,2,0,0,0,12,0,0,0,1,53
101017,1,2,227,77,0,1,4,48,2,8,0,1,370
101017,2,0,221,61,2,1,4,46,2,3,1,2,343
101017,3,1,378,95,2,3,2,65,9,10,4,3,572
101018,1,4,123,14,0,1,19,29,1,0,0,0,191
101018,2,1,97,12,1,0,9,28,2,1,0,0,151
101018,3,0,52,15,0,0,0,19,2,1,0,2,91
101019,1,2,240,17,0,0,18,70,1,3,1,1,353
101019,2,12,181,15,0,0,14,55,13,2,0,0,292
101019,3,0,103,10,0,0,5,22,0,5,1,0,146
101019,4,0,70,14,0,0,1,14,1,3,0,0,103
101020,1,5,176,22,0,0,23,52,3,0,0,1,282
101020,2,0,55,2,0,1,0,7,0,0,0,0,65
101021,1,5,88,9,0,2,7,80,0,1,0,0,192
101021,2,8,88,14,0,0,11,63,1,0,0,0,185
101021,3,1,92,10,0,0,11,61,0,1,0,0,176
101021,4,0,107,27,0,0,18,71,1,2,0,0,226
101021,5,0,27,0,0,1,0,16,1,0,0,0,45
101021,6,0,9,4,1,0,0,9,0,0,0,0,23
101021,7,0,22,5,1,0,0,14,1,1,0,0,44
101022,1,5,75,6,1,0,5,25,1,0,0,0,118
101022,2,1,67,3,0,0,10,23,1,0,0,0,105
101022,3,1,64,6,0,0,8,11,0,0,0,0,90
101022,4,0,60,12,0,0,7,14,0,0,0,0,93
101022,5,0,33,13,0,0,0,5,0,0,0,0,51
101022,6,0,11,21,0,0,0,16,0,0,0,0,48
101022,7,0,59,7,0,1,2,11,0,0,1,0,81
101023,1,4,175,26,2,2,17,47,0,0,0,2,275
101023,3,2,106,10,0,0,10,28,1,1,0,0,158
101023,4,0,20,4,0,0,0,17,1,0,0,0,42
101023,5,0,21,6,0,0,0,15,1,0,0,0,43
101024,1,0,209,14,1,0,10,49,0,1,0,0,284
101024,2,5,256,20,0,0,10,59,0,1,0,1,352
101024,3,2,223,20,0,0,8,50,4,0,0,0,307
101024,4,0,141,14,0,1,10,25,1,0,0,0,192
101024,5,1,98,16,0,0,2,37,1,0,0,2,157
101025,1,3,245,29,0,0,4,57,7,0,0,0,345
101025,2,2,225,25,0,0,5,53,2,0,0,0,312
101025,3,0,201,20,0,0,5,47,2,0,0,0,275
101025,4,4,368,21,0,0,15,73,0,1,0,0,482
101025,5,1,289,23,0,0,22,87,1,0,0,0,423
101025,6,1,292,22,0,0,25,69,0,2,1,0,412
101025,7,3,307,14,0,1,18,67,2,0,0,0,412
101026,1,1,284,17,0,0,16,30,1,0,0,1,350
101026,2,0,255,7,0,0,0,27,1,0,0,0,290
101027,1,10,353,27,0,0,23,96,1,0,0,1,511
101027,2,4,218,18,0,0,6,65,3,0,0,0,314
101028,1,2,240,38,0,0,33,135,0,0,0,0,448
101028,2,1,115,18,0,0,16,80,0,1,0,1,232
101028,3,1,176,26,0,0,19,108,2,2,0,0,334
101028,4,1,97,12,0,1,19,94,1,0,0,0,225
101028,5,0,27,38,0,0,1,15,0,0,0,0,81
101028,6,0,29,37,0,0,0,10,0,0,0,0,76
101028,7,0,12,3,0,0,0,3,0,0,0,1,19
101029,1,0,69,21,0,1,5,46,1,4,0,0,147
101029,2,2,35,7,0,0,0,33,1,1,0,0,79
101029,3,0,22,7,0,0,1,11,0,2,0,0,43
101029,4,0,16,2,0,0,0,5,0,0,0,0,23
101029,5,0,10,4,0,0,0,10,0,0,0,0,24
101030,1,0,326,11,0,0,7,40,0,2,0,0,386
101030,2,0,328,13,0,0,8,29,0,0,0,0,378
101030,3,0,506,28,0,0,7,42,1,0,0,0,584
101031,1,1,70,5,0,0,17,28,1,0,0,0,122
101032,1,9,201,62,0,0,36,158,1,5,1,0,473
101032,2,9,200,62,0,0,36,157,0,5,1,0,470
101032,4,11,216,58,2,0,38,186,1,1,0,0,513
101032,5,0,199,35,0,0,12,79,2,2,0,1,330
101032,6,1,93,29,0,1,8,48,0,5,0,1,186
101033,1,8,281,73,0,0,38,171,2,2,0,0,575
101033,2,15,242,65,0,0,37,223,2,1,0,0,585
101033,3,12,291,57,0,0,32,149,1,7,0,2,551
101033,4,11,245,68,0,0,40,162,4,9,1,1,541
101033,6,0,24,17,0,0,6,33,1,0,0,1,82
101033,7,1,131,12,0,0,4,46,1,0,0,0,195
101034,1,1,157,58,0,0,9,98,1,2,0,2,328
101034,2,2,172,44,0,0,10,94,2,0,0,0,324
101034,3,1,118,25,0,0,9,60,2,0,0,0,215
101034,4,2,131,20,0,0,4,47,0,2,0,0,206
101034,5,0,98,46,0,0,3,73,0,2,1,1,224
101034,6,0,96,20,0,0,3,33,3,0,2,1,158
101034,7,0,62,14,0,0,0,12,0,0,0,1,89
101035,1,9,157,41,0,0,18,100,1,3,0,2,331
101035,2,2,146,37,0,1,14,59,2,1,1,1,264
101035,3,4,182,54,0,1,14,85,2,1,0,0,343
101035,4,7,143,26,0,1,9,77,0,1,0,0,264
101035,5,2,78,35,0,1,1,44,1,1,0,0,163
101035,6,3,82,24,0,1,1,61,0,5,0,0,177
101035,7,0,82,23,0,0,29,41,1,1,0,1,178
101035,8,2,92,35,0,2,0,40,2,0,1,0,174
