تلاحم عومجم,هنانز تلاحم,هنادرم تلاحم,زکارم دادعت,تيلاو
Total_PS,Female_PS,Male_PS,Polling_Centers,District
823,340,483,292,ناشخدب
402,171,231,152,سيغداب
701,305,396,281,نلاغب
1002,418,584,319,خلب
453,194,259,188,نايماب
506,205,301,194,یدنکياد
456,194,262,174,هارف
689,304,385,216,بايراف
1197,491,706,385,ینزغ
634,272,362,209,روغ
633,202,431,147,دنملھ
1448,639,809,463,تارھ
453,181,272,127,ناجزوج
2445,1076,1369,557,لباک
981,371,610,244,راھدنک
274,106,168,84,اسيپاک
589,232,357,186,تسوخ
385,143,242,96,رنک
717,296,421,219,زدنک
352,135,217,110,نامغل
337,135,202,83,رگول
1474,635,839,498,راھرگنن
169,73,96,62,زورمين
156,66,90,50,ناتسرون
738,320,418,266,اکيتکپ
618,260,358,212,ايتکپ
268,107,161,108,ريشجنپ
412,159,253,138,ناورپ
319,132,187,101,ناگنمس
376,156,220,111,لپرس
785,314,471,215,راخت
216,74,142,49,ناگزورا
389,168,221,160,کدرو
266,84,182,79,لباز
21663,8958,12705,6775,هعومجم
