no.;no_province;district;province;prov_id;vrc_code;vrc_name;location;lat;lon
1;1;Kabul;Kabul;1;101001;Bibi Sarwari Sangari Female High School;Capital;;
2;2;Kabul;Kabul;1;101002;Chaman Hozuri, Ustad Bitab High School;Capital;;
3;3;Kabul;Kabul;1;101003;Rokhshana female High School;Capital;;
4;4;Kabul;Kabul;1;101004;Mastora Ghory School;Capital;34.51255585;69.1792723
5;5;Kabul;Kabul;1;101005;Zabiullah Shahid High School;Capital;34.52791;69.1519
6;6;Kabul;Kabul;1;101006;Karti Char Sofi Islam;Capital;34.51106342;69.1258025
7;7;Kabul;Kabul;1;101007;Charahi Taymani Tajor sultan school;Capital;34.55095566;69.1416364
8;8;Kabul;Kabul;1;101008;Spin Kali Meer ghulam Mod Ghobar;Capital;34.53128299;69.1021379
9;9;Kabul;Kabul;1;101009;Dah Dana Mehrabudin School;Capital;34.4708071;69.1404218
10;10;Kabul;Kabul;1;101010;3rd Macroyan Alfatah school;Capital;34.53777157;69.2015545
11;11;Kabul;Kabul;1;101011;Qalai Fathoulah Zarghona School;Capital;34.54241246;69.1696778
12;12;Kabul;Kabul;1;101012;Ahmadsha Baba mena Aysha sadiqa school;Capital;34.5116076;69.3186863
13;13;Kabul;Kabul;1;101013;Pul Khoshk Homaun shahid school;Capital;34.50863638;69.092831
14;14;Kabul;Kabul;1;101014;Parachi center of 14 dis;Capital;34.59190306;68.95948
15;15;Kabul;Kabul;1;101015;Hasi 3 kherkhana Bibi sara school;Capital;34.57714682;69.1567255
16;16;Kabul;Kabul;1;101016;First Macroyan 16th Nahia Center;Capital;34.53175744;69.2063893
17;17;Kabul;Kabul;1;101017;sary kotal center of 17 Nahia;Capital;34.58512466;69.0867494
18;18;Kabul;Kabul;1;101018;Bakhtaryan , Mohammad Ajan school;Capital;34.61215474;69.2820256
19;19;Kabul;Kabul;1;101033;Haji Sanator Janat Gul Mina High School;Capital;;
20;20;Dehsabz;Kabul;1;105019;Khoaja Chasht Primary School;District;34.64692627;69.2341387
21;21;Shakardara;Kabul;1;106020;Shah Mardan school;District;34.68292937;69.0376435
22;22;Paghman;Kabul;1;102021;Center of Distract of Paghman Parachi;District;34.5911794;68.9579692
23;23;Chaharasyab;Kabul;1;103022;Centeral of Dis Char Asiab Male Char asiab;District;34.39641239;69.1618376
24;24;Musayi;Kabul;1;107023;Dah Kala Musahi School;District;34.34;69.18
25;25;Bagrami;Kabul;1;104024;Bazar bagram Girls school;District;34.49612686;69.2765413
26;26;Qarabagh;Kabul;1;114025;Qarabagh Bazar school;District;34.84271536;69.1571507
27;27;Kalakan;Kabul;1;110026;Center of Kalakan Habib ullah shahid school;District;34.78548019;69.1454231
28;28;Mirbachakot;Kabul;1;108027;Meerbacha khan ;;;
29;29;Guldara;Kabul;1;111028;Araban School;District;34.74316491;69.045026
30;30;Khak e Jabbar;Kabul;1;109029;Ghazgay school;District;34.36590253;69.4028622
31;31;Surobi;Kabul;1;115030;Shahrak primary School;District;34.59072048;69.7524295
32;32;Estalef;Kabul;1;113031;Center of Distract of Astalif , Astalif School;District;34.83266779;69.0821796
33;33;Farza;Kabul;1;112032;Farza School, Payan Daa;District;34.79460477;69.0616903
34;1;Mahmood Raqi H;Kapisa;2;201001;Mahmood Raaqi High school;District;;
35;2;Nejrab;Kapisa;2;205002;Shirwani ( Center of district );District;35.00077333;69.5828239
36;3;Kohband;Kapisa;2;203003;Markaz woleswali( center of Dist);District;35.10801839;69.4253443
37;4;Hisa e Duwum;Kapisa;2;202004;Markaz woleswali( center of Dist);District;35.06827053;69.3233875
38;5;Tagab;Kapisa;2;206005;Masjed Bazar( next to dist center);District;34.85555117;69.6483656
39;6;Alasay;Kapisa;2;207006;Markaz woleswali( center of Dist);District;34.89317205;69.7194127
40;7;Hisa e Awal e;Kapisa;2;204007;Provincial election office;District;35.13459735;69.3063237
41;1;Charikar;Parwan;3;301001;Municipality Building, Charikar City;District;35.01373537;69.1675545
42;2;Jabalussaraj;Parwan;3;305002;Jabul Saraj Male High School, District center;District;35.12174734;69.2347258
43;3;Shinwari;Parwan;3;303003;Tafhem el Quran High School,Shenwari District center;District;35.03881778;69.0056541
44;4;Bagram;Parwan;3;302004;Shafiq Shahid High School, Bagrami District;District;34.9617156;69.2271192
45;5;Saydkhel;Parwan;3;304005;Saed Kheil Darul Hefaz,Bazar e Saed kheil;District;35.07033835;69.2505676
46;6;Salang;Parwan;3;306006;Salang Male High School,District Center Baghie Mayd;District;35.22341661;69.2141667
47;7;Ghorband;Parwan;3;307007;Hazart Ali High School, Seya gerd District;District;34.99667247;68.8568379
48;8;Koh e Safi;Parwan;3;308008;Dandar School, Kohe Safi District;District;34.79514904;69.4667654
49;9;Shekhali;Parwan;3;310009;District Building ,Dashte Guzar District Bazzar;District;34.94542815;68.5452152
50;10;Surkh e Parsa;Parwan;3;309010;Bazar Lolange Femal High school ,District Center;District;34.92498911;68.6478931
51;1;Maydanshahr;Wardak;4;401001;IEC Provincial office;Province Cent;34.39483379;68.865845
52;2;Jalrez;Wardak;4;403002;Maktab bibi ieshah;District;34.46989801;68.6479378
53;3;Nerkh;Wardak;4;402003;Basi khil maktab kanezat;District;34.37149429;68.7709316
54;4;Hesa e Awal e;Wardak;4;407004;Bazar Dahan siasang;District;34.50630942;68.2368151
55;5;Daymirdad;Wardak;4;406005;Meran;District;34.22193555;68.3060077
56;6;Chak;Wardak;4;404006;Markit bazar pana;District;34.11941408;68.5874477
57;7;Saydabad;Wardak;4;405007;aman khil lesa ili syed abad;District;33.99630239;68.7102345
58;8;Markaz e Behs;Wardak;4;409008;Bazar Markaz;District;34.34478822;67.9066806
59;9;Jaghatu;Wardak;4;408009;Clinic Kalandi;District;33.82138889;68.3977778
60;1;Pul e Alam;Logar;5;501001;Omari Faroq High School;Province Cent;34.00700155;69.0156698
61;2;Khoshi;Logar;5;504002;Khoshi school;District;34.01036642;69.2039479
62;3;Mohammadagh;Logar;5;505003;Central of District;District;34.20201166;69.0840875
63;4;Barakibarak;Logar;5;502004;Ghazy Aminullah Khan school;District;33.96621803;68.9429536
64;5;Charkh;Logar;5;503005;Molana Yaqob Charkhy school;District;33.79262138;68.9280866
65;6;Kharwar;Logar;5;506006;Central school of Kharwar;District;33.66324174;68.9099557
66;7;Azra;Logar;5;507007;Babar school;District;34.16596465;69.6331455
67;1;Jalalabad;Nangarhar;6;601001;Faculty of Education;Province Cent;34.42270245;70.4356107
68;2;Jalalabad;Nangarhar;6;601002;Tribal Affiars Directorate;Province Cent;34.42270245;70.4356107
69;3;Jalalabad;Nangarhar;6;601003;Joi Haft Teacher Training Institute;Province Cent;34.42270245;70.4356107
70;4;Jalalabad;Nangarhar;6;601004;Nasrat High School, Torkham Hada;Province Cent;34.42490998;70.4661678
71;5;Jalalabad;Nangarhar;6;601005;Bi Bi Hawa High School, Rig Sha Mard Khan;Province Cent;34.43469857;70.4579994
72;6;Behsud;Nangarhar;6;602006;Mohammadi Sahibzada High School, Baland ghar;District;34.45122978;70.5160261
73;7;Surkhrod;Nangarhar;6;603007;Reyast Kanal, dosaraka;District;34.439997;70.3982148
74;8;Khogyani;Nangarhar;6;608008;Malik Yar Hotak school,old Bazzar;District;34.26605732;70.1963709
75;9;Chaparhar;Nangarhar;6;604009;Chaparhar central clinic;District;34.28427684;70.364384
76;10;Rodat;Nangarhar;6;607010;Ahdad Elemantery School, Hesar Shahi;District;34.25665883;70.5693914
77;11;Kama;Nangarhar;6;605011;Clinic Sangar Saraie,Sangtrashi;District;34.41173577;70.6403719
78;12;Kuzkunar;Nangarhar;6;606012;Markez Khewa Clinic;District;34.57149381;70.5830677
79;13;Dara e Nur;Nangarhar;6;612013;Male School, Qalie Shahi;District;34.64720073;70.5922265
80;14;Hesarak;Nangarhar;6;621014;Hesarak central High School;District;34.2893136;69.8059327
81;15;Sherzad;Nangarhar;6;619015;Mama khiel High School;District;34.24694114;69.9689901
82;16;Pachieragam;Nangarhar;6;611016;Animal Clinic, Landi khiel;District;34.1998765;70.2705612
83;17;Dehbala;Nangarhar;6;610017;Gotawal high school;District;34.19051431;70.4766286
84;18;Kot;Nangarhar;6;613018;Kot High school,Jaba village;District;34.19654508;70.6453514
85;19;Batikot;Nangarhar;6;609019;Bati kot School,Shodeyani;District;34.26849783;70.7409407
86;20;Goshta;Nangarhar;6;614020;Hameed Momand School, Goshta;District;34.35600085;70.7939808
87;21;Achin;Nangarhar;6;615021;Kahi High school Sera qala;District;34.12406717;70.7077575
88;22;Shinwar;Nangarhar;6;616022;Al Fateh High School,Sheergar;District;34.19862197;70.7979949
